,train,val,test
0,6165_,6960_,6984_
1,6169_,6239_,6812_
2,6170_,6189_,
3,6181_,6967_,
4,6184_,6257_,
5,6190_,6258_,
6,6194_,6203_,
7,6195_,6981_,
8,6196_,6950_,
9,6197_,6185_,
10,6199_,6972_,
11,6204_,6210_,
12,6205_,6224_,
13,6206_,6811_,
14,6213_,6801_,
15,6215_,6160_,
16,6218_,,
17,6220_,,
18,6226_,,
19,6227_,,
20,6228_,,
21,6230_,,
22,6232_,,
23,6233_,,
24,6234_,,
25,6236_,,
26,6238_,,
27,6240_,,
28,6241_,,
29,6242_,,
30,6243_,,
31,6245_,,
32,6246_,,
33,6250_,,
34,6251_,,
35,6256_,,
36,6260_,,
37,6662_,,
38,6663_,,
39,6667_,,
40,6668_,,
41,6671_,,
42,6674_,,
43,6795_,,
44,6800_,,
45,6945_,,
46,6951_,,
47,6958_,,
48,6959_,,
49,6969_,,
50,6974_,,
51,6977_,,
52,6979_,,
53,6980_,,
54,6986_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6175_,,
61,6177_,,
62,6178_,,
63,6180_,,
64,6182_,,
65,6183_,,
66,6186_,,
67,6187_,,
68,6188_,,
69,6191_,,
70,6193_,,
71,6198_,,
72,6200_,,
73,6201_,,
74,6202_,,
75,6207_,,
76,6208_,,
77,6209_,,
78,6211_,,
79,6212_,,
80,6216_,,
81,6217_,,
82,6221_,,
83,6222_,,
84,6229_,,
85,6235_,,
86,6237_,,
87,6244_,,
88,6247_,,
89,6248_,,
90,6249_,,
91,6252_,,
92,6253_,,
93,6254_,,
94,6255_,,
95,6263_,,
96,6664_,,
97,6669_,,
98,6670_,,
99,6672_,,
100,6673_,,
101,6675_,,
102,6791_,,
103,6792_,,
104,6793_,,
105,6794_,,
106,6796_,,
107,6805_,,
108,6806_,,
109,6808_,,
110,6810_,,
111,6813_,,
112,6946_,,
113,6947_,,
114,6948_,,
115,6949_,,
116,6952_,,
117,6954_,,
118,6955_,,
119,6957_,,
120,6961_,,
121,6964_,,
122,6965_,,
123,6966_,,
124,6968_,,
125,6970_,,
126,6971_,,
127,6975_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6161_,,
132,6162_,,
133,6163_,,
134,6176_,,
135,6179_,,
136,6219_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6799_,,
141,6802_,,
142,6803_,,
143,6804_,,
144,6956_,,
145,6973_,,
146,6985_,,
