,train,val,test
0,6165_,6228_,6238_
1,6169_,6959_,6187_
2,6181_,6257_,
3,6184_,6233_,
4,6189_,6170_,
5,6190_,6662_,
6,6194_,6248_,
7,6195_,6185_,
8,6196_,6255_,
9,6197_,6235_,
10,6199_,6200_,
11,6204_,6167_,
12,6205_,6263_,
13,6206_,6216_,
14,6213_,6162_,
15,6215_,6985_,
16,6218_,,
17,6220_,,
18,6226_,,
19,6227_,,
20,6230_,,
21,6232_,,
22,6234_,,
23,6236_,,
24,6239_,,
25,6240_,,
26,6241_,,
27,6242_,,
28,6243_,,
29,6245_,,
30,6246_,,
31,6250_,,
32,6251_,,
33,6256_,,
34,6258_,,
35,6260_,,
36,6663_,,
37,6667_,,
38,6668_,,
39,6671_,,
40,6674_,,
41,6795_,,
42,6800_,,
43,6945_,,
44,6951_,,
45,6958_,,
46,6960_,,
47,6967_,,
48,6969_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6172_,,
57,6173_,,
58,6174_,,
59,6175_,,
60,6177_,,
61,6178_,,
62,6180_,,
63,6182_,,
64,6183_,,
65,6186_,,
66,6188_,,
67,6191_,,
68,6193_,,
69,6198_,,
70,6201_,,
71,6202_,,
72,6203_,,
73,6207_,,
74,6208_,,
75,6209_,,
76,6210_,,
77,6211_,,
78,6212_,,
79,6217_,,
80,6221_,,
81,6222_,,
82,6224_,,
83,6229_,,
84,6237_,,
85,6244_,,
86,6247_,,
87,6249_,,
88,6252_,,
89,6253_,,
90,6254_,,
91,6664_,,
92,6669_,,
93,6670_,,
94,6672_,,
95,6673_,,
96,6675_,,
97,6791_,,
98,6792_,,
99,6793_,,
100,6794_,,
101,6796_,,
102,6805_,,
103,6806_,,
104,6808_,,
105,6810_,,
106,6811_,,
107,6812_,,
108,6813_,,
109,6946_,,
110,6947_,,
111,6948_,,
112,6949_,,
113,6950_,,
114,6952_,,
115,6954_,,
116,6955_,,
117,6957_,,
118,6961_,,
119,6964_,,
120,6965_,,
121,6966_,,
122,6968_,,
123,6970_,,
124,6971_,,
125,6972_,,
126,6975_,,
127,6981_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6163_,,
134,6176_,,
135,6179_,,
136,6219_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6803_,,
144,6804_,,
145,6956_,,
146,6973_,,
