,train,val,test
0,6165_,6250_,6674_
1,6169_,6228_,6954_
2,6170_,6959_,
3,6181_,6204_,
4,6184_,6662_,
5,6189_,6986_,
6,6190_,6950_,
7,6194_,6796_,
8,6195_,6961_,
9,6196_,6968_,
10,6197_,6178_,
11,6199_,6672_,
12,6205_,6669_,
13,6206_,6981_,
14,6213_,6973_,
15,6215_,6176_,
16,6218_,,
17,6220_,,
18,6226_,,
19,6227_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6238_,,
26,6239_,,
27,6240_,,
28,6241_,,
29,6242_,,
30,6243_,,
31,6245_,,
32,6246_,,
33,6251_,,
34,6256_,,
35,6257_,,
36,6258_,,
37,6260_,,
38,6663_,,
39,6667_,,
40,6668_,,
41,6671_,,
42,6795_,,
43,6800_,,
44,6945_,,
45,6951_,,
46,6958_,,
47,6960_,,
48,6967_,,
49,6969_,,
50,6974_,,
51,6977_,,
52,6979_,,
53,6980_,,
54,6984_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6175_,,
61,6177_,,
62,6180_,,
63,6182_,,
64,6183_,,
65,6185_,,
66,6186_,,
67,6187_,,
68,6188_,,
69,6191_,,
70,6193_,,
71,6198_,,
72,6200_,,
73,6201_,,
74,6202_,,
75,6203_,,
76,6207_,,
77,6208_,,
78,6209_,,
79,6210_,,
80,6211_,,
81,6212_,,
82,6216_,,
83,6217_,,
84,6221_,,
85,6222_,,
86,6224_,,
87,6229_,,
88,6235_,,
89,6237_,,
90,6244_,,
91,6247_,,
92,6248_,,
93,6249_,,
94,6252_,,
95,6253_,,
96,6254_,,
97,6255_,,
98,6263_,,
99,6664_,,
100,6670_,,
101,6673_,,
102,6675_,,
103,6791_,,
104,6792_,,
105,6793_,,
106,6794_,,
107,6805_,,
108,6806_,,
109,6808_,,
110,6810_,,
111,6811_,,
112,6812_,,
113,6813_,,
114,6946_,,
115,6947_,,
116,6948_,,
117,6949_,,
118,6952_,,
119,6955_,,
120,6957_,,
121,6964_,,
122,6965_,,
123,6966_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6975_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6179_,,
136,6219_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6803_,,
144,6804_,,
145,6956_,,
146,6985_,,
