,train,val,test
6165_,True,False,False
6169_,True,False,False
6170_,True,False,False
6181_,True,False,False
6190_,True,False,False
6194_,True,False,False
6196_,True,False,False
6199_,True,False,False
6205_,True,False,False
6206_,True,False,False
6213_,True,False,False
6215_,True,False,False
6218_,True,False,False
6227_,True,False,False
6228_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6240_,True,False,False
6241_,True,False,False
6245_,True,False,False
6246_,True,False,False
6250_,True,False,False
6256_,True,False,False
6257_,True,False,False
6258_,True,False,False
6260_,True,False,False
6662_,True,False,False
6667_,True,False,False
6668_,True,False,False
6674_,True,False,False
6800_,True,False,False
6945_,True,False,False
6967_,True,False,False
6969_,True,False,False
6974_,True,False,False
6977_,True,False,False
6984_,True,False,False
6164_,True,False,False
6172_,True,False,False
6178_,True,False,False
6182_,True,False,False
6188_,True,False,False
6193_,True,False,False
6200_,True,False,False
6201_,True,False,False
6202_,True,False,False
6203_,True,False,False
6208_,True,False,False
6209_,True,False,False
6210_,True,False,False
6211_,True,False,False
6217_,True,False,False
6222_,True,False,False
6224_,True,False,False
6235_,True,False,False
6247_,True,False,False
6249_,True,False,False
6252_,True,False,False
6253_,True,False,False
6254_,True,False,False
6255_,True,False,False
6664_,True,False,False
6670_,True,False,False
6675_,True,False,False
6791_,True,False,False
6793_,True,False,False
6794_,True,False,False
6796_,True,False,False
6805_,True,False,False
6806_,True,False,False
6808_,True,False,False
6810_,True,False,False
6812_,True,False,False
6813_,True,False,False
6946_,True,False,False
6947_,True,False,False
6948_,True,False,False
6952_,True,False,False
6955_,True,False,False
6957_,True,False,False
6965_,True,False,False
6966_,True,False,False
6968_,True,False,False
6971_,True,False,False
6972_,True,False,False
6981_,True,False,False
6983_,True,False,False
6987_,True,False,False
6160_,True,False,False
6161_,True,False,False
6162_,True,False,False
6163_,True,False,False
6179_,True,False,False
6219_,True,False,False
6666_,True,False,False
6798_,True,False,False
6802_,True,False,False
6956_,True,False,False
6189_,False,True,False
6251_,False,True,False
6243_,False,True,False
6239_,False,True,False
6959_,False,True,False
6795_,False,True,False
6234_,False,True,False
6986_,False,True,False
6980_,False,True,False
6197_,False,True,False
6951_,False,True,False
6195_,False,True,False
6964_,False,True,False
6263_,False,True,False
6954_,False,True,False
6792_,False,True,False
6180_,False,True,False
6244_,False,True,False
6949_,False,True,False
6970_,False,True,False
6167_,False,True,False
6198_,False,True,False
6212_,False,True,False
6811_,False,True,False
6961_,False,True,False
6672_,False,True,False
6950_,False,True,False
6185_,False,True,False
6186_,False,True,False
6799_,False,True,False
6231_,False,True,False
6985_,False,True,False
6176_,False,True,False
6958_,False,False,True
6184_,False,False,True
6238_,False,False,True
6236_,False,False,True
6960_,False,False,True
6220_,False,False,True
6979_,False,False,True
6242_,False,False,True
6204_,False,False,True
6663_,False,False,True
6226_,False,False,True
6671_,False,False,True
6183_,False,False,True
6191_,False,False,True
6187_,False,False,True
6237_,False,False,True
6207_,False,False,True
6975_,False,False,True
6669_,False,False,True
6229_,False,False,True
6982_,False,False,True
6174_,False,False,True
6216_,False,False,True
6175_,False,False,True
6248_,False,False,True
6221_,False,False,True
6177_,False,False,True
6673_,False,False,True
6173_,False,False,True
6803_,False,False,True
6973_,False,False,True
6804_,False,False,True
6801_,False,False,True
