,train,val,test
6169_,True,False,False
6170_,True,False,False
6181_,True,False,False
6184_,True,False,False
6190_,True,False,False
6196_,True,False,False
6197_,True,False,False
6204_,True,False,False
6205_,True,False,False
6206_,True,False,False
6213_,True,False,False
6220_,True,False,False
6227_,True,False,False
6228_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6234_,True,False,False
6236_,True,False,False
6238_,True,False,False
6242_,True,False,False
6245_,True,False,False
6246_,True,False,False
6251_,True,False,False
6256_,True,False,False
6258_,True,False,False
6260_,True,False,False
6663_,True,False,False
6668_,True,False,False
6800_,True,False,False
6945_,True,False,False
6958_,True,False,False
6959_,True,False,False
6967_,True,False,False
6969_,True,False,False
6974_,True,False,False
6977_,True,False,False
6979_,True,False,False
6164_,True,False,False
6172_,True,False,False
6174_,True,False,False
6175_,True,False,False
6177_,True,False,False
6178_,True,False,False
6180_,True,False,False
6183_,True,False,False
6185_,True,False,False
6186_,True,False,False
6193_,True,False,False
6198_,True,False,False
6201_,True,False,False
6203_,True,False,False
6207_,True,False,False
6208_,True,False,False
6210_,True,False,False
6211_,True,False,False
6212_,True,False,False
6216_,True,False,False
6224_,True,False,False
6229_,True,False,False
6247_,True,False,False
6249_,True,False,False
6252_,True,False,False
6253_,True,False,False
6669_,True,False,False
6670_,True,False,False
6672_,True,False,False
6673_,True,False,False
6791_,True,False,False
6792_,True,False,False
6793_,True,False,False
6794_,True,False,False
6796_,True,False,False
6806_,True,False,False
6808_,True,False,False
6810_,True,False,False
6812_,True,False,False
6946_,True,False,False
6949_,True,False,False
6952_,True,False,False
6955_,True,False,False
6957_,True,False,False
6961_,True,False,False
6966_,True,False,False
6968_,True,False,False
6970_,True,False,False
6972_,True,False,False
6981_,True,False,False
6987_,True,False,False
6160_,True,False,False
6162_,True,False,False
6176_,True,False,False
6179_,True,False,False
6219_,True,False,False
6666_,True,False,False
6798_,True,False,False
6801_,True,False,False
6803_,True,False,False
6804_,True,False,False
6951_,False,True,False
6667_,False,True,False
6671_,False,True,False
6218_,False,True,False
6239_,False,True,False
6195_,False,True,False
6226_,False,True,False
6257_,False,True,False
6960_,False,True,False
6986_,False,True,False
6243_,False,True,False
6250_,False,True,False
6167_,False,True,False
6182_,False,True,False
6947_,False,True,False
6971_,False,True,False
6950_,False,True,False
6254_,False,True,False
6813_,False,True,False
6235_,False,True,False
6954_,False,True,False
6964_,False,True,False
6664_,False,True,False
6222_,False,True,False
6202_,False,True,False
6209_,False,True,False
6191_,False,True,False
6965_,False,True,False
6948_,False,True,False
6163_,False,True,False
6161_,False,True,False
6802_,False,True,False
6973_,False,True,False
6240_,False,False,True
6199_,False,False,True
6795_,False,False,True
6215_,False,False,True
6984_,False,False,True
6241_,False,False,True
6674_,False,False,True
6662_,False,False,True
6980_,False,False,True
6189_,False,False,True
6165_,False,False,True
6194_,False,False,True
6811_,False,False,True
6173_,False,False,True
6221_,False,False,True
6217_,False,False,True
6187_,False,False,True
6237_,False,False,True
6244_,False,False,True
6255_,False,False,True
6263_,False,False,True
6982_,False,False,True
6200_,False,False,True
6983_,False,False,True
6188_,False,False,True
6248_,False,False,True
6805_,False,False,True
6675_,False,False,True
6975_,False,False,True
6799_,False,False,True
6956_,False,False,True
6985_,False,False,True
6231_,False,False,True
