,train,val,test
6169_,True,False,False
6181_,True,False,False
6184_,True,False,False
6189_,True,False,False
6190_,True,False,False
6195_,True,False,False
6196_,True,False,False
6197_,True,False,False
6204_,True,False,False
6205_,True,False,False
6206_,True,False,False
6215_,True,False,False
6218_,True,False,False
6220_,True,False,False
6226_,True,False,False
6228_,True,False,False
6230_,True,False,False
6233_,True,False,False
6234_,True,False,False
6236_,True,False,False
6238_,True,False,False
6239_,True,False,False
6241_,True,False,False
6242_,True,False,False
6243_,True,False,False
6246_,True,False,False
6250_,True,False,False
6256_,True,False,False
6257_,True,False,False
6260_,True,False,False
6662_,True,False,False
6668_,True,False,False
6674_,True,False,False
6795_,True,False,False
6959_,True,False,False
6969_,True,False,False
6977_,True,False,False
6984_,True,False,False
6167_,True,False,False
6172_,True,False,False
6173_,True,False,False
6174_,True,False,False
6175_,True,False,False
6178_,True,False,False
6180_,True,False,False
6186_,True,False,False
6188_,True,False,False
6191_,True,False,False
6193_,True,False,False
6198_,True,False,False
6202_,True,False,False
6203_,True,False,False
6207_,True,False,False
6208_,True,False,False
6209_,True,False,False
6210_,True,False,False
6211_,True,False,False
6212_,True,False,False
6216_,True,False,False
6217_,True,False,False
6224_,True,False,False
6235_,True,False,False
6237_,True,False,False
6248_,True,False,False
6252_,True,False,False
6253_,True,False,False
6254_,True,False,False
6255_,True,False,False
6263_,True,False,False
6664_,True,False,False
6669_,True,False,False
6673_,True,False,False
6675_,True,False,False
6793_,True,False,False
6796_,True,False,False
6805_,True,False,False
6806_,True,False,False
6812_,True,False,False
6813_,True,False,False
6946_,True,False,False
6947_,True,False,False
6948_,True,False,False
6950_,True,False,False
6952_,True,False,False
6957_,True,False,False
6968_,True,False,False
6970_,True,False,False
6971_,True,False,False
6981_,True,False,False
6161_,True,False,False
6163_,True,False,False
6176_,True,False,False
6179_,True,False,False
6219_,True,False,False
6231_,True,False,False
6798_,True,False,False
6801_,True,False,False
6803_,True,False,False
6804_,True,False,False
6960_,False,True,False
6240_,False,True,False
6974_,False,True,False
6663_,False,True,False
6800_,False,True,False
6165_,False,True,False
6979_,False,True,False
6227_,False,True,False
6245_,False,True,False
6170_,False,True,False
6951_,False,True,False
6945_,False,True,False
6965_,False,True,False
6811_,False,True,False
6794_,False,True,False
6164_,False,True,False
6987_,False,True,False
6972_,False,True,False
6949_,False,True,False
6966_,False,True,False
6983_,False,True,False
6954_,False,True,False
6183_,False,True,False
6249_,False,True,False
6964_,False,True,False
6955_,False,True,False
6182_,False,True,False
6792_,False,True,False
6670_,False,True,False
6162_,False,True,False
6802_,False,True,False
6799_,False,True,False
6973_,False,True,False
6986_,False,False,True
6213_,False,False,True
6667_,False,False,True
6958_,False,False,True
6232_,False,False,True
6251_,False,False,True
6194_,False,False,True
6258_,False,False,True
6980_,False,False,True
6671_,False,False,True
6199_,False,False,True
6967_,False,False,True
6229_,False,False,True
6177_,False,False,True
6982_,False,False,True
6222_,False,False,True
6244_,False,False,True
6187_,False,False,True
6672_,False,False,True
6200_,False,False,True
6810_,False,False,True
6201_,False,False,True
6791_,False,False,True
6185_,False,False,True
6975_,False,False,True
6808_,False,False,True
6961_,False,False,True
6247_,False,False,True
6221_,False,False,True
6956_,False,False,True
6666_,False,False,True
6985_,False,False,True
6160_,False,False,True
