,train,val,test
6165_,True,False,False
6169_,True,False,False
6170_,True,False,False
6189_,True,False,False
6194_,True,False,False
6195_,True,False,False
6196_,True,False,False
6197_,True,False,False
6199_,True,False,False
6204_,True,False,False
6205_,True,False,False
6206_,True,False,False
6215_,True,False,False
6220_,True,False,False
6226_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6234_,True,False,False
6236_,True,False,False
6239_,True,False,False
6242_,True,False,False
6243_,True,False,False
6245_,True,False,False
6250_,True,False,False
6256_,True,False,False
6258_,True,False,False
6662_,True,False,False
6667_,True,False,False
6671_,True,False,False
6795_,True,False,False
6800_,True,False,False
6945_,True,False,False
6951_,True,False,False
6958_,True,False,False
6959_,True,False,False
6979_,True,False,False
6986_,True,False,False
6167_,True,False,False
6174_,True,False,False
6175_,True,False,False
6180_,True,False,False
6182_,True,False,False
6183_,True,False,False
6185_,True,False,False
6186_,True,False,False
6187_,True,False,False
6188_,True,False,False
6193_,True,False,False
6200_,True,False,False
6202_,True,False,False
6203_,True,False,False
6207_,True,False,False
6208_,True,False,False
6209_,True,False,False
6212_,True,False,False
6224_,True,False,False
6229_,True,False,False
6235_,True,False,False
6237_,True,False,False
6244_,True,False,False
6247_,True,False,False
6249_,True,False,False
6252_,True,False,False
6253_,True,False,False
6254_,True,False,False
6255_,True,False,False
6263_,True,False,False
6670_,True,False,False
6672_,True,False,False
6793_,True,False,False
6794_,True,False,False
6796_,True,False,False
6805_,True,False,False
6806_,True,False,False
6811_,True,False,False
6813_,True,False,False
6946_,True,False,False
6950_,True,False,False
6952_,True,False,False
6954_,True,False,False
6955_,True,False,False
6961_,True,False,False
6964_,True,False,False
6965_,True,False,False
6966_,True,False,False
6972_,True,False,False
6981_,True,False,False
6983_,True,False,False
6161_,True,False,False
6163_,True,False,False
6179_,True,False,False
6219_,True,False,False
6231_,True,False,False
6802_,True,False,False
6804_,True,False,False
6956_,True,False,False
6973_,True,False,False
6985_,True,False,False
6227_,False,True,False
6184_,False,True,False
6240_,False,True,False
6257_,False,True,False
6984_,False,True,False
6190_,False,True,False
6218_,False,True,False
6260_,False,True,False
6246_,False,True,False
6960_,False,True,False
6977_,False,True,False
6213_,False,True,False
6971_,False,True,False
6975_,False,True,False
6191_,False,True,False
6211_,False,True,False
6669_,False,True,False
6987_,False,True,False
6178_,False,True,False
6948_,False,True,False
6248_,False,True,False
6201_,False,True,False
6198_,False,True,False
6812_,False,True,False
6968_,False,True,False
6810_,False,True,False
6949_,False,True,False
6210_,False,True,False
6164_,False,True,False
6799_,False,True,False
6798_,False,True,False
6666_,False,True,False
6160_,False,True,False
6181_,False,False,True
6251_,False,False,True
6980_,False,False,True
6228_,False,False,True
6974_,False,False,True
6668_,False,False,True
6663_,False,False,True
6969_,False,False,True
6238_,False,False,True
6241_,False,False,True
6674_,False,False,True
6967_,False,False,True
6673_,False,False,True
6791_,False,False,True
6970_,False,False,True
6982_,False,False,True
6217_,False,False,True
6947_,False,False,True
6808_,False,False,True
6957_,False,False,True
6177_,False,False,True
6172_,False,False,True
6792_,False,False,True
6216_,False,False,True
6173_,False,False,True
6221_,False,False,True
6222_,False,False,True
6675_,False,False,True
6664_,False,False,True
6176_,False,False,True
6801_,False,False,True
6803_,False,False,True
6162_,False,False,True
