,train,val,test
0,6165_,6226_,6959_
1,6169_,6668_,6167_
2,6170_,6197_,
3,6181_,6238_,
4,6184_,6241_,
5,6189_,6969_,
6,6190_,6203_,
7,6194_,6975_,
8,6195_,6792_,
9,6196_,6210_,
10,6199_,6949_,
11,6204_,6791_,
12,6205_,6201_,
13,6206_,6187_,
14,6213_,6666_,
15,6215_,6985_,
16,6218_,,
17,6220_,,
18,6227_,,
19,6228_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6239_,,
26,6240_,,
27,6242_,,
28,6243_,,
29,6245_,,
30,6246_,,
31,6250_,,
32,6251_,,
33,6256_,,
34,6257_,,
35,6258_,,
36,6260_,,
37,6662_,,
38,6663_,,
39,6667_,,
40,6671_,,
41,6674_,,
42,6795_,,
43,6800_,,
44,6945_,,
45,6951_,,
46,6958_,,
47,6960_,,
48,6967_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6172_,,
57,6173_,,
58,6174_,,
59,6175_,,
60,6177_,,
61,6178_,,
62,6180_,,
63,6182_,,
64,6183_,,
65,6185_,,
66,6186_,,
67,6188_,,
68,6191_,,
69,6193_,,
70,6198_,,
71,6200_,,
72,6202_,,
73,6207_,,
74,6208_,,
75,6209_,,
76,6211_,,
77,6212_,,
78,6216_,,
79,6217_,,
80,6221_,,
81,6222_,,
82,6224_,,
83,6229_,,
84,6235_,,
85,6237_,,
86,6244_,,
87,6247_,,
88,6248_,,
89,6249_,,
90,6252_,,
91,6253_,,
92,6254_,,
93,6255_,,
94,6263_,,
95,6664_,,
96,6669_,,
97,6670_,,
98,6672_,,
99,6673_,,
100,6675_,,
101,6793_,,
102,6794_,,
103,6796_,,
104,6805_,,
105,6806_,,
106,6808_,,
107,6810_,,
108,6811_,,
109,6812_,,
110,6813_,,
111,6946_,,
112,6947_,,
113,6948_,,
114,6950_,,
115,6952_,,
116,6954_,,
117,6955_,,
118,6957_,,
119,6961_,,
120,6964_,,
121,6965_,,
122,6966_,,
123,6968_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6981_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6176_,,
136,6179_,,
137,6219_,,
138,6231_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6803_,,
144,6804_,,
145,6956_,,
146,6973_,,
