,train,val,test
0,6165_,6969_,6197_
1,6169_,6238_,6669_
2,6170_,6967_,
3,6181_,6199_,
4,6184_,6800_,
5,6189_,6667_,
6,6190_,6808_,
7,6194_,6954_,
8,6195_,6237_,
9,6196_,6805_,
10,6204_,6981_,
11,6205_,6221_,
12,6206_,6235_,
13,6213_,6254_,
14,6215_,6176_,
15,6218_,6799_,
16,6220_,,
17,6226_,,
18,6227_,,
19,6228_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6239_,,
26,6240_,,
27,6241_,,
28,6242_,,
29,6243_,,
30,6245_,,
31,6246_,,
32,6250_,,
33,6251_,,
34,6256_,,
35,6257_,,
36,6258_,,
37,6260_,,
38,6662_,,
39,6663_,,
40,6668_,,
41,6671_,,
42,6674_,,
43,6795_,,
44,6945_,,
45,6951_,,
46,6958_,,
47,6959_,,
48,6960_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6175_,,
61,6177_,,
62,6178_,,
63,6180_,,
64,6182_,,
65,6183_,,
66,6185_,,
67,6186_,,
68,6187_,,
69,6188_,,
70,6191_,,
71,6193_,,
72,6198_,,
73,6200_,,
74,6201_,,
75,6202_,,
76,6203_,,
77,6207_,,
78,6208_,,
79,6209_,,
80,6210_,,
81,6211_,,
82,6212_,,
83,6216_,,
84,6217_,,
85,6222_,,
86,6224_,,
87,6229_,,
88,6244_,,
89,6247_,,
90,6248_,,
91,6249_,,
92,6252_,,
93,6253_,,
94,6255_,,
95,6263_,,
96,6664_,,
97,6670_,,
98,6672_,,
99,6673_,,
100,6675_,,
101,6791_,,
102,6792_,,
103,6793_,,
104,6794_,,
105,6796_,,
106,6806_,,
107,6810_,,
108,6811_,,
109,6812_,,
110,6813_,,
111,6946_,,
112,6947_,,
113,6948_,,
114,6949_,,
115,6950_,,
116,6952_,,
117,6955_,,
118,6957_,,
119,6961_,,
120,6964_,,
121,6965_,,
122,6966_,,
123,6968_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6975_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6179_,,
136,6219_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6801_,,
141,6802_,,
142,6803_,,
143,6804_,,
144,6956_,,
145,6973_,,
146,6985_,,
