,train,val,test
0,6165_,6671_,6795_
1,6169_,6800_,6972_
2,6170_,6674_,
3,6181_,6197_,
4,6184_,6958_,
5,6189_,6230_,
6,6190_,6808_,
7,6194_,6955_,
8,6195_,6812_,
9,6196_,6971_,
10,6199_,6793_,
11,6204_,6164_,
12,6205_,6229_,
13,6206_,6263_,
14,6213_,6985_,
15,6215_,6666_,
16,6218_,,
17,6220_,,
18,6226_,,
19,6227_,,
20,6228_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6238_,,
26,6239_,,
27,6240_,,
28,6241_,,
29,6242_,,
30,6243_,,
31,6245_,,
32,6246_,,
33,6250_,,
34,6251_,,
35,6256_,,
36,6257_,,
37,6258_,,
38,6260_,,
39,6662_,,
40,6663_,,
41,6667_,,
42,6668_,,
43,6945_,,
44,6951_,,
45,6959_,,
46,6960_,,
47,6967_,,
48,6969_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6167_,,
56,6172_,,
57,6173_,,
58,6174_,,
59,6175_,,
60,6177_,,
61,6178_,,
62,6180_,,
63,6182_,,
64,6183_,,
65,6185_,,
66,6186_,,
67,6187_,,
68,6188_,,
69,6191_,,
70,6193_,,
71,6198_,,
72,6200_,,
73,6201_,,
74,6202_,,
75,6203_,,
76,6207_,,
77,6208_,,
78,6209_,,
79,6210_,,
80,6211_,,
81,6212_,,
82,6216_,,
83,6217_,,
84,6221_,,
85,6222_,,
86,6224_,,
87,6235_,,
88,6237_,,
89,6244_,,
90,6247_,,
91,6248_,,
92,6249_,,
93,6252_,,
94,6253_,,
95,6254_,,
96,6255_,,
97,6664_,,
98,6669_,,
99,6670_,,
100,6672_,,
101,6673_,,
102,6675_,,
103,6791_,,
104,6792_,,
105,6794_,,
106,6796_,,
107,6805_,,
108,6806_,,
109,6810_,,
110,6811_,,
111,6813_,,
112,6946_,,
113,6947_,,
114,6948_,,
115,6949_,,
116,6950_,,
117,6952_,,
118,6954_,,
119,6957_,,
120,6961_,,
121,6964_,,
122,6965_,,
123,6966_,,
124,6968_,,
125,6970_,,
126,6975_,,
127,6981_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6176_,,
136,6179_,,
137,6219_,,
138,6231_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6803_,,
144,6804_,,
145,6956_,,
146,6973_,,
