,train,val,test
0,6165_,6800_,6674_
1,6169_,6199_,6964_
2,6170_,6181_,
3,6184_,6243_,
4,6189_,6984_,
5,6190_,6204_,
6,6194_,6177_,
7,6195_,6792_,
8,6196_,6794_,
9,6197_,6950_,
10,6205_,6180_,
11,6206_,6209_,
12,6213_,6981_,
13,6215_,6808_,
14,6218_,6219_,
15,6220_,6803_,
16,6226_,,
17,6227_,,
18,6228_,,
19,6230_,,
20,6232_,,
21,6233_,,
22,6234_,,
23,6236_,,
24,6238_,,
25,6239_,,
26,6240_,,
27,6241_,,
28,6242_,,
29,6245_,,
30,6246_,,
31,6250_,,
32,6251_,,
33,6256_,,
34,6257_,,
35,6258_,,
36,6260_,,
37,6662_,,
38,6663_,,
39,6667_,,
40,6668_,,
41,6671_,,
42,6795_,,
43,6945_,,
44,6951_,,
45,6958_,,
46,6959_,,
47,6960_,,
48,6967_,,
49,6969_,,
50,6974_,,
51,6977_,,
52,6979_,,
53,6980_,,
54,6986_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6175_,,
61,6178_,,
62,6182_,,
63,6183_,,
64,6185_,,
65,6186_,,
66,6187_,,
67,6188_,,
68,6191_,,
69,6193_,,
70,6198_,,
71,6200_,,
72,6201_,,
73,6202_,,
74,6203_,,
75,6207_,,
76,6208_,,
77,6210_,,
78,6211_,,
79,6212_,,
80,6216_,,
81,6217_,,
82,6221_,,
83,6222_,,
84,6224_,,
85,6229_,,
86,6235_,,
87,6237_,,
88,6244_,,
89,6247_,,
90,6248_,,
91,6249_,,
92,6252_,,
93,6253_,,
94,6254_,,
95,6255_,,
96,6263_,,
97,6664_,,
98,6669_,,
99,6670_,,
100,6672_,,
101,6673_,,
102,6675_,,
103,6791_,,
104,6793_,,
105,6796_,,
106,6805_,,
107,6806_,,
108,6810_,,
109,6811_,,
110,6812_,,
111,6813_,,
112,6946_,,
113,6947_,,
114,6948_,,
115,6949_,,
116,6952_,,
117,6954_,,
118,6955_,,
119,6957_,,
120,6961_,,
121,6965_,,
122,6966_,,
123,6968_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6975_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6176_,,
136,6179_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6804_,,
144,6956_,,
145,6973_,,
146,6985_,,
