,train,val,test
0,6165_,6240_,6197_
1,6169_,6258_,6949_
2,6170_,6663_,
3,6181_,6257_,
4,6184_,6215_,
5,6189_,6969_,
6,6190_,6952_,
7,6194_,6975_,
8,6195_,6675_,
9,6196_,6806_,
10,6199_,6185_,
11,6204_,6175_,
12,6205_,6947_,
13,6206_,6792_,
14,6213_,6666_,
15,6218_,6956_,
16,6220_,,
17,6226_,,
18,6227_,,
19,6228_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6234_,,
24,6236_,,
25,6238_,,
26,6239_,,
27,6241_,,
28,6242_,,
29,6243_,,
30,6245_,,
31,6246_,,
32,6250_,,
33,6251_,,
34,6256_,,
35,6260_,,
36,6662_,,
37,6667_,,
38,6668_,,
39,6671_,,
40,6674_,,
41,6795_,,
42,6800_,,
43,6945_,,
44,6951_,,
45,6958_,,
46,6959_,,
47,6960_,,
48,6967_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6177_,,
61,6178_,,
62,6180_,,
63,6182_,,
64,6183_,,
65,6186_,,
66,6187_,,
67,6188_,,
68,6191_,,
69,6193_,,
70,6198_,,
71,6200_,,
72,6201_,,
73,6202_,,
74,6203_,,
75,6207_,,
76,6208_,,
77,6209_,,
78,6210_,,
79,6211_,,
80,6212_,,
81,6216_,,
82,6217_,,
83,6221_,,
84,6222_,,
85,6224_,,
86,6229_,,
87,6235_,,
88,6237_,,
89,6244_,,
90,6247_,,
91,6248_,,
92,6249_,,
93,6252_,,
94,6253_,,
95,6254_,,
96,6255_,,
97,6263_,,
98,6664_,,
99,6669_,,
100,6670_,,
101,6672_,,
102,6673_,,
103,6791_,,
104,6793_,,
105,6794_,,
106,6796_,,
107,6805_,,
108,6808_,,
109,6810_,,
110,6811_,,
111,6812_,,
112,6813_,,
113,6946_,,
114,6948_,,
115,6950_,,
116,6954_,,
117,6955_,,
118,6957_,,
119,6961_,,
120,6964_,,
121,6965_,,
122,6966_,,
123,6968_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6981_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6161_,,
133,6162_,,
134,6163_,,
135,6176_,,
136,6179_,,
137,6219_,,
138,6231_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6802_,,
143,6803_,,
144,6804_,,
145,6973_,,
146,6985_,,
