,train,val,test
6165_,True,False,False
6170_,True,False,False
6181_,True,False,False
6184_,True,False,False
6195_,True,False,False
6196_,True,False,False
6197_,True,False,False
6199_,True,False,False
6206_,True,False,False
6215_,True,False,False
6218_,True,False,False
6220_,True,False,False
6227_,True,False,False
6228_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6236_,True,False,False
6239_,True,False,False
6241_,True,False,False
6246_,True,False,False
6250_,True,False,False
6251_,True,False,False
6256_,True,False,False
6257_,True,False,False
6662_,True,False,False
6663_,True,False,False
6667_,True,False,False
6668_,True,False,False
6674_,True,False,False
6795_,True,False,False
6800_,True,False,False
6958_,True,False,False
6959_,True,False,False
6967_,True,False,False
6974_,True,False,False
6977_,True,False,False
6986_,True,False,False
6164_,True,False,False
6167_,True,False,False
6172_,True,False,False
6174_,True,False,False
6175_,True,False,False
6182_,True,False,False
6187_,True,False,False
6191_,True,False,False
6198_,True,False,False
6200_,True,False,False
6201_,True,False,False
6202_,True,False,False
6203_,True,False,False
6208_,True,False,False
6209_,True,False,False
6212_,True,False,False
6216_,True,False,False
6222_,True,False,False
6224_,True,False,False
6229_,True,False,False
6235_,True,False,False
6237_,True,False,False
6252_,True,False,False
6254_,True,False,False
6255_,True,False,False
6263_,True,False,False
6670_,True,False,False
6672_,True,False,False
6675_,True,False,False
6793_,True,False,False
6794_,True,False,False
6796_,True,False,False
6805_,True,False,False
6808_,True,False,False
6810_,True,False,False
6811_,True,False,False
6813_,True,False,False
6946_,True,False,False
6947_,True,False,False
6948_,True,False,False
6949_,True,False,False
6950_,True,False,False
6954_,True,False,False
6957_,True,False,False
6965_,True,False,False
6968_,True,False,False
6971_,True,False,False
6972_,True,False,False
6981_,True,False,False
6983_,True,False,False
6987_,True,False,False
6160_,True,False,False
6163_,True,False,False
6176_,True,False,False
6179_,True,False,False
6219_,True,False,False
6666_,True,False,False
6798_,True,False,False
6799_,True,False,False
6803_,True,False,False
6956_,True,False,False
6242_,False,True,False
6204_,False,True,False
6969_,False,True,False
6979_,False,True,False
6960_,False,True,False
6189_,False,True,False
6671_,False,True,False
6945_,False,True,False
6245_,False,True,False
6258_,False,True,False
6234_,False,True,False
6984_,False,True,False
6180_,False,True,False
6217_,False,True,False
6207_,False,True,False
6952_,False,True,False
6183_,False,True,False
6664_,False,True,False
6961_,False,True,False
6982_,False,True,False
6792_,False,True,False
6247_,False,True,False
6955_,False,True,False
6673_,False,True,False
6249_,False,True,False
6970_,False,True,False
6806_,False,True,False
6253_,False,True,False
6178_,False,True,False
6161_,False,True,False
6804_,False,True,False
6162_,False,True,False
6801_,False,True,False
6194_,False,False,True
6238_,False,False,True
6190_,False,False,True
6226_,False,False,True
6205_,False,False,True
6169_,False,False,True
6951_,False,False,True
6980_,False,False,True
6213_,False,False,True
6260_,False,False,True
6240_,False,False,True
6243_,False,False,True
6177_,False,False,True
6964_,False,False,True
6975_,False,False,True
6186_,False,False,True
6210_,False,False,True
6173_,False,False,True
6185_,False,False,True
6211_,False,False,True
6188_,False,False,True
6791_,False,False,True
6248_,False,False,True
6669_,False,False,True
6812_,False,False,True
6221_,False,False,True
6244_,False,False,True
6966_,False,False,True
6193_,False,False,True
6802_,False,False,True
6973_,False,False,True
6985_,False,False,True
6231_,False,False,True
