,train,val,test
6165_,True,False,False
6170_,True,False,False
6181_,True,False,False
6184_,True,False,False
6194_,True,False,False
6195_,True,False,False
6199_,True,False,False
6206_,True,False,False
6215_,True,False,False
6218_,True,False,False
6220_,True,False,False
6230_,True,False,False
6232_,True,False,False
6233_,True,False,False
6234_,True,False,False
6238_,True,False,False
6239_,True,False,False
6240_,True,False,False
6242_,True,False,False
6243_,True,False,False
6245_,True,False,False
6246_,True,False,False
6251_,True,False,False
6260_,True,False,False
6662_,True,False,False
6663_,True,False,False
6667_,True,False,False
6671_,True,False,False
6795_,True,False,False
6800_,True,False,False
6945_,True,False,False
6951_,True,False,False
6959_,True,False,False
6967_,True,False,False
6969_,True,False,False
6979_,True,False,False
6980_,True,False,False
6984_,True,False,False
6164_,True,False,False
6172_,True,False,False
6174_,True,False,False
6178_,True,False,False
6180_,True,False,False
6183_,True,False,False
6185_,True,False,False
6186_,True,False,False
6188_,True,False,False
6191_,True,False,False
6193_,True,False,False
6198_,True,False,False
6201_,True,False,False
6202_,True,False,False
6207_,True,False,False
6208_,True,False,False
6209_,True,False,False
6210_,True,False,False
6212_,True,False,False
6216_,True,False,False
6217_,True,False,False
6221_,True,False,False
6229_,True,False,False
6237_,True,False,False
6249_,True,False,False
6252_,True,False,False
6254_,True,False,False
6255_,True,False,False
6263_,True,False,False
6664_,True,False,False
6669_,True,False,False
6670_,True,False,False
6672_,True,False,False
6673_,True,False,False
6791_,True,False,False
6805_,True,False,False
6808_,True,False,False
6812_,True,False,False
6946_,True,False,False
6948_,True,False,False
6950_,True,False,False
6952_,True,False,False
6955_,True,False,False
6964_,True,False,False
6965_,True,False,False
6970_,True,False,False
6971_,True,False,False
6972_,True,False,False
6975_,True,False,False
6981_,True,False,False
6983_,True,False,False
6161_,True,False,False
6176_,True,False,False
6179_,True,False,False
6231_,True,False,False
6798_,True,False,False
6802_,True,False,False
6803_,True,False,False
6804_,True,False,False
6956_,True,False,False
6973_,True,False,False
6228_,False,True,False
6986_,False,True,False
6257_,False,True,False
6974_,False,True,False
6197_,False,True,False
6190_,False,True,False
6226_,False,True,False
6250_,False,True,False
6213_,False,True,False
6960_,False,True,False
6958_,False,True,False
6205_,False,True,False
6235_,False,True,False
6954_,False,True,False
6961_,False,True,False
6173_,False,True,False
6811_,False,True,False
6222_,False,True,False
6167_,False,True,False
6966_,False,True,False
6211_,False,True,False
6987_,False,True,False
6796_,False,True,False
6224_,False,True,False
6806_,False,True,False
6813_,False,True,False
6182_,False,True,False
6794_,False,True,False
6675_,False,True,False
6801_,False,True,False
6219_,False,True,False
6985_,False,True,False
6666_,False,True,False
6258_,False,False,True
6256_,False,False,True
6674_,False,False,True
6196_,False,False,True
6241_,False,False,True
6668_,False,False,True
6169_,False,False,True
6189_,False,False,True
6204_,False,False,True
6236_,False,False,True
6227_,False,False,True
6977_,False,False,True
6200_,False,False,True
6175_,False,False,True
6187_,False,False,True
6792_,False,False,True
6248_,False,False,True
6968_,False,False,True
6810_,False,False,True
6253_,False,False,True
6177_,False,False,True
6947_,False,False,True
6793_,False,False,True
6203_,False,False,True
6949_,False,False,True
6957_,False,False,True
6247_,False,False,True
6244_,False,False,True
6982_,False,False,True
6160_,False,False,True
6163_,False,False,True
6799_,False,False,True
6162_,False,False,True
