,train,val,test
0,6165_,6246_,6260_
1,6169_,6189_,6229_
2,6170_,6967_,
3,6184_,6234_,
4,6190_,6674_,
5,6194_,6181_,
6,6195_,6211_,
7,6196_,6216_,
8,6197_,6664_,
9,6199_,6981_,
10,6204_,6180_,
11,6205_,6965_,
12,6206_,6966_,
13,6213_,6208_,
14,6215_,6161_,
15,6218_,6802_,
16,6220_,,
17,6226_,,
18,6227_,,
19,6228_,,
20,6230_,,
21,6232_,,
22,6233_,,
23,6236_,,
24,6238_,,
25,6239_,,
26,6240_,,
27,6241_,,
28,6242_,,
29,6243_,,
30,6245_,,
31,6250_,,
32,6251_,,
33,6256_,,
34,6257_,,
35,6258_,,
36,6662_,,
37,6663_,,
38,6667_,,
39,6668_,,
40,6671_,,
41,6795_,,
42,6800_,,
43,6945_,,
44,6951_,,
45,6958_,,
46,6959_,,
47,6960_,,
48,6969_,,
49,6974_,,
50,6977_,,
51,6979_,,
52,6980_,,
53,6984_,,
54,6986_,,
55,6164_,,
56,6167_,,
57,6172_,,
58,6173_,,
59,6174_,,
60,6175_,,
61,6177_,,
62,6178_,,
63,6182_,,
64,6183_,,
65,6185_,,
66,6186_,,
67,6187_,,
68,6188_,,
69,6191_,,
70,6193_,,
71,6198_,,
72,6200_,,
73,6201_,,
74,6202_,,
75,6203_,,
76,6207_,,
77,6209_,,
78,6210_,,
79,6212_,,
80,6217_,,
81,6221_,,
82,6222_,,
83,6224_,,
84,6235_,,
85,6237_,,
86,6244_,,
87,6247_,,
88,6248_,,
89,6249_,,
90,6252_,,
91,6253_,,
92,6254_,,
93,6255_,,
94,6263_,,
95,6669_,,
96,6670_,,
97,6672_,,
98,6673_,,
99,6675_,,
100,6791_,,
101,6792_,,
102,6793_,,
103,6794_,,
104,6796_,,
105,6805_,,
106,6806_,,
107,6808_,,
108,6810_,,
109,6811_,,
110,6812_,,
111,6813_,,
112,6946_,,
113,6947_,,
114,6948_,,
115,6949_,,
116,6950_,,
117,6952_,,
118,6954_,,
119,6955_,,
120,6957_,,
121,6961_,,
122,6964_,,
123,6968_,,
124,6970_,,
125,6971_,,
126,6972_,,
127,6975_,,
128,6982_,,
129,6983_,,
130,6987_,,
131,6160_,,
132,6162_,,
133,6163_,,
134,6176_,,
135,6179_,,
136,6219_,,
137,6231_,,
138,6666_,,
139,6798_,,
140,6799_,,
141,6801_,,
142,6803_,,
143,6804_,,
144,6956_,,
145,6973_,,
146,6985_,,
