,train,val,test
6204_,True,False,False
6213_,True,False,False
6226_,True,False,False
6958_,True,False,False
6959_,True,False,False
6960_,True,False,False
6173_,True,False,False
6175_,True,False,False
6178_,True,False,False
6182_,True,False,False
6186_,True,False,False
6188_,True,False,False
6191_,True,False,False
6193_,True,False,False
6198_,True,False,False
6202_,True,False,False
6217_,True,False,False
6160_,True,False,False
6219_,True,False,False
6231_,True,False,False
6666_,True,False,False
6257_,False,True,False
6980_,False,True,False
6203_,False,True,False
6955_,False,True,False
6177_,False,True,False
6799_,False,True,False
6969_,False,False,True
6260_,False,False,True
6964_,False,False,True
6255_,False,False,True
6248_,False,False,True
6985_,False,False,True
