,train,val,test
6204_,True,False,False
6213_,True,False,False
6257_,True,False,False
6260_,True,False,False
6958_,True,False,False
6967_,True,False,False
6173_,True,False,False
6175_,True,False,False
6178_,True,False,False
6186_,True,False,False
6188_,True,False,False
6193_,True,False,False
6198_,True,False,False
6202_,True,False,False
6203_,True,False,False
6217_,True,False,False
6244_,True,False,False
6160_,True,False,False
6219_,True,False,False
6666_,True,False,False
6798_,True,False,False
6960_,False,True,False
6986_,False,True,False
6249_,False,True,False
6182_,False,True,False
6964_,False,True,False
6231_,False,True,False
6959_,False,False,True
6226_,False,False,True
6177_,False,False,True
6191_,False,False,True
6255_,False,False,True
6973_,False,False,True
